y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
0,0,0,4.6029e-36,0,1.2527e-35,-0,1,1,0,6.4599,-2.8535e-20
0.01652,0.01652,-4.6414e-09,4.7816e-05,1.1924e-11,2.0886e-05,4.6414e-09,0.99998,0.99998,-1.1924e-11,6.4592,0.0020457
0.054974,0.054973,-1.7169e-07,0.00052902,1.4448e-09,0.00022909,1.7169e-07,0.99994,0.99994,-1.4448e-09,6.4574,0.0068016
0.12078,0.12077,-1.8323e-06,0.0025496,3.2976e-08,0.0010879,1.8323e-06,0.99988,0.99988,-3.2976e-08,6.4545,0.014914
0.21934,0.21931,-1.1077e-05,0.0083909,3.479e-07,0.003502,1.1077e-05,0.99977,0.99978,-3.479e-07,6.4505,0.02698
0.35607,0.35601,-4.7975e-05,0.022054,2.3164e-06,0.0089268,4.7975e-05,0.9996,0.99964,-2.3164e-06,6.4455,0.043478
0.53639,0.53623,-0.00016646,0.049883,1.1286e-05,0.019396,0.00016646,0.9993,0.99946,-1.1286e-05,6.4398,0.064657
0.7657,0.76531,-0.00049232,0.10127,4.3709e-05,0.03743,0.00049232,0.99874,0.99923,-4.3709e-05,6.4343,0.090381
1.0329,1.032,-0.0012278,0.18349,0.00013354,0.063988,0.0012278,0.99774,0.99896,-0.00013354,6.4303,0.1183
1.3379,1.3361,-0.0027041,0.30632,0.0003434,0.10011,0.0027041,0.99595,0.99866,-0.0003434,6.4287,0.14711
1.6808,1.6772,-0.0054074,0.48022,0.00077373,0.14626,0.0054074,0.9929,0.99831,-0.00077373,6.4307,0.17533
2.0616,2.0543,-0.0099932,0.71558,0.0015696,0.20232,0.0099932,0.98794,0.99793,-0.0015696,6.4377,0.20139
2.4802,2.4663,-0.01727,1.0215,0.0029223,0.26759,0.01727,0.98024,0.99751,-0.0029223,6.4511,0.22385
2.9365,2.9112,-0.028143,1.4041,0.0050662,0.34093,0.028143,0.9689,0.99705,-0.0050662,6.4721,0.24156
3.4307,3.3863,-0.043515,1.8647,0.0082686,0.42087,0.043515,0.95303,0.99655,-0.0082686,6.502,0.2538
3.9627,3.8878,-0.064157,2.3983,0.012817,0.50583,0.064157,0.93185,0.99601,-0.012817,6.542,0.26044
4.5324,4.4112,-0.090581,2.993,0.019006,0.59425,0.090581,0.90485,0.99543,-0.019006,6.593,0.26199
5.1398,4.951,-0.12293,3.6306,0.027117,0.68475,0.12293,0.87188,0.99482,-0.027117,6.6557,0.25956
5.785,5.5012,-0.16093,4.2882,0.037412,0.77617,0.16093,0.83323,0.99416,-0.037412,6.7304,0.25476
6.4678,6.0554,-0.2039,4.9408,0.050116,0.86759,0.2039,0.78956,0.99346,-0.050116,6.8173,0.24949
